peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13405657+-0.17534147+-0.5994446,0.13226257+-0.13384171+-0.57273275,0.18909934+0.0027139029+0.09492812,0.6028514,164,1711.783086416
0.13406278+-0.17534201+-0.59946805,0.13234206+-0.134127+-0.57291436,0.1890982+0.0027133338+0.09493486,0.60310477,165,1711.816428916
0.13400985+-0.1753351+-0.599482,0.13257216+-0.13513526+-0.5703618,0.18910646+0.0027253004+0.094942056,0.6009571,166,1711.849773125
0.13406269+-0.1753346+-0.5995189,0.13291465+-0.1371997+-0.5653018,0.1891247+0.002735313+0.094954304,0.5967044,167,1711.883125041
0.1340672+-0.17534679+-0.5995325,0.13320407+-0.13852975+-0.5625388,0.18913086+0.0027286187+0.09495322,0.59446084,168,1711.916461083
0.13407102+-0.17535424+-0.59952754,0.13332258+-0.13893852+-0.56191236,0.18917719+0.0027198652+0.094948,0.59399015,169,1711.9831505
0.13407873+-0.17538466+-0.59952277,0.13352843+-0.13955665+-0.56124794,0.1891501+0.002689097+0.094880566,0.593553,170,1712.016488791
0.13402158+-0.1753551+-0.5994593,0.13086618+-0.13627273+-0.560776,0.18915902+0.0026791338+0.094844654,0.59174824,171,1712.049832291
0.13402033+-0.17536683+-0.5994199,0.12964624+-0.13478844+-0.56050026,0.18917719+0.0026701875+0.09481387,0.59087783,172,1712.083175333
0.13400851+-0.17535542+-0.59939694,0.12819622+-0.13317615+-0.55986434,0.18908097+0.0026383884+0.09480914,0.58959156,173,1712.116520666
0.1340184+-0.17527919+-0.59937835,0.12766398+-0.13281791+-0.5591683,0.18905741+0.0026288796+0.09480392,0.58873415,174,1712.149861291
0.13401178+-0.17525658+-0.5993729,0.12712184+-0.13357766+-0.5616153,0.18906355+0.002625986+0.09479095,0.59111303,175,1712.183215666
0.13401085+-0.17523672+-0.5993674,0.12628528+-0.13503225+-0.567105,0.18907309+0.0026208917+0.09478033,0.59648114,176,1712.216549916
0.1340039+-0.17521818+-0.5993669,0.12555449+-0.13573122+-0.5698799,0.18908659+0.0026178397+0.094770245,0.5991244,177,1712.249893875
0.13397689+-0.17520505+-0.5993668,0.12523185+-0.13583823+-0.5703636,0.1891041+0.0026177259+0.09475955,0.5995412,178,1712.283236625
