peerPosAR,peerPosNI,MyPos,Time
0.32746282+-0.15115467+-0.48907283,0.29081976+0.018628633+-0.672303,0.0045663514+0.17560928+0.07812285,175
0.32738915+-0.15115535+-0.48922545,0.29041153+0.018371116+-0.6728754,0.0045881355+0.1755931+0.07802336,176
0.3273523+-0.15117255+-0.48933995,0.29041153+0.018371116+-0.6728754,0.004593709+0.17557761+0.077957556,177
0.32732883+-0.15118551+-0.489418,0.28893113+0.017649053+-0.67536485,0.0045082015+0.17557688+0.07801379,178
0.3273308+-0.1510989+-0.4893784,0.2869028+0.016662635+-0.67886114,0.004454915+0.17555852+0.0780739,179
0.32731622+-0.15104571+-0.4893301,0.285159+0.0157623+-0.6818826,0.004418499+0.17553468+0.078132905,180
0.32729575+-0.15100834+-0.48928028,0.28393227+0.0150805665+-0.68395984,0.0043993304+0.1755133+0.07816244,181
0.32727835+-0.15099174+-0.48926058,0.28314763+0.01461919+-0.6851666,0.0043967115+0.17549284+0.078148864,182
0.3272614+-0.15099326+-0.4892861,0.28314763+0.01461919+-0.6851666,0.0044031115+0.1754734+0.078089386,183
0.32724604+-0.15100694+-0.4893602,0.28264073+0.014316541+-0.68577415,0.0043359273+0.17548576+0.07809524,184
0.3272636+-0.15094608+-0.48936895,0.2826351+0.0143234795+-0.68563485,0.0043159868+0.17549677+0.078012235,185
0.32727772+-0.15093589+-0.48946467,0.2834891+0.014851809+-0.6844405,0.004296045+0.17550448+0.0779319,186
0.32728958+-0.15092361+-0.4895551,0.28483972+0.015645651+-0.6827075,0.004267151+0.17550977+0.077887714,187
0.3273006+-0.15090688+-0.48961124,0.28608742+0.016321054+-0.6811812,0.004234914+0.17551792+0.07787736,188
0.32732016+-0.1508771+-0.48963836,0.28608742+0.016321054+-0.6811812,0.0042082933+0.1755263+0.077892706,189
0.3273378+-0.15085135+-0.48963505,0.2869969+0.016761629+-0.6801201,0.004091183+0.17549849+0.078152835,190
0.3273378+-0.15085135+-0.48963505,0.28752908+0.016987877+-0.679519,0.004065067+0.17548384+0.07824647,191
0.3273129+-0.15070406+-0.48930126,0.28774762+0.01706526+-0.6792612,0.0040742257+0.17547835+0.07824609,192
0.32731104+-0.15070908+-0.48924607,0.2877571+0.017056204+-0.6792086,0.0040941355+0.17547543+0.078192174,193
0.3273093+-0.15071778+-0.48920158,0.28479207+0.016373076+-0.682613,0.004110367+0.17547184+0.07811734,194
0.32730976+-0.15074241+-0.4892484,0.28479207+0.016373076+-0.682613,0.0041168877+0.1754666+0.078040324,195
0.3273049+-0.15075603+-0.48930296,0.28185323+0.015718343+-0.6860736,0.0040921946+0.17558488+0.0781617,196
0.32743058+-0.15073518+-0.48917153,0.2793053+0.015131579+-0.68908656,0.004076379+0.1756207+0.07820394,197
0.3274731+-0.15072331+-0.48911765,0.27749294+0.01468574+-0.69123524,0.004068893+0.17562826+0.07824403,198
0.32748735+-0.15071678+-0.48906195,0.27634826+0.014378812+-0.69258523,0.0040740096+0.17563029+0.0782863,199
0.32749838+-0.15072502+-0.48900697,0.2756415+0.014176656+-0.6933878,0.004093594+0.17562965+0.078311935,200
0.32750332+-0.15074916+-0.48896253,0.2756415+0.014176656+-0.6933878,0.0041223066+0.17562647+0.07831164,201
0.327508+-0.15078047+-0.48894498,0.27513552+0.014036178+-0.69390386,0.00413577+0.17568797+0.07842027,202
0.32758003+-0.15079345+-0.48881918,0.27467176+0.013918555+-0.6943211,0.004160262+0.17570803+0.07840189,203
0.3276068+-0.15082459+-0.4888181,0.27418566+0.013796227+-0.6947388,0.0041800076+0.17571405+0.078342415,204
0.32761887+-0.15085144+-0.4888559,0.27367744+0.013656423+-0.6951897,0.004193508+0.17571335+0.07828764,205
0.3276273+-0.1508679+-0.48889056,0.27317497+0.013501487+-0.6956697,0.004201521+0.17571053+0.07825325,206
0.32763574+-0.15088217+-0.48890388,0.27317497+0.013501487+-0.6956697,0.0042111934+0.1757083+0.07824292,207
0.32764617+-0.15089928+-0.4888872,0.27269664+0.013341848+-0.69616604,0.004113027+0.17566675+0.07836059,208
0.3276254+-0.15079978+-0.48875013,0.27222896+0.013186484+-0.6966745,0.004086545+0.17564833+0.07843057,209
0.3276264+-0.1507746+-0.48865953,0.27174452+0.0130374115+-0.6971978,0.004089829+0.17563674+0.078466326,210
0.32763156+-0.15078081+-0.48859653,0.27122134+0.012887167+-0.69773865,0.004103319+0.17563124+0.07846612,211
0.3276431+-0.15080135+-0.48856893,0.270885+0.012861511+-0.69917417,0.0041147866+0.17562649+0.07844035,212
0.32765502+-0.15082656+-0.48856914,0.270885+0.012861511+-0.69917417,0.0041175024+0.1756195+0.07839742,213
0.3276633+-0.15083216+-0.4885755,0.2711681+0.0130078895+-0.7000322,0.0040455116+0.17568398+0.078423746,214
0.32774842+-0.15076649+-0.48852277,0.2713788+0.013115696+-0.7008265,0.0040122857+0.17569591+0.07840956,215
0.32777768+-0.1507452+-0.48850515,0.27140582+0.013144406+-0.70153534,0.0039928393+0.17568557+0.07840676,216
0.32778913+-0.15073635+-0.48848,0.27125832+0.013103879+-0.70217055,0.0039845672+0.17566773+0.07842269,217
0.32779524+-0.15073113+-0.4884329,0.27097964+0.013021599+-0.7027598,0.0039879465+0.17564851+0.07844396,218
0.327802+-0.15073974+-0.48838252,0.27097964+0.013021599+-0.7027598,0.003999148+0.17562874+0.0784617,219
0.32780442+-0.15076117+-0.4883294,0.27060327+0.012920802+-0.70333445,0.0040060533+0.17561762+0.07847701,220
0.32781538+-0.15077661+-0.4882766,0.2701538+0.012813627+-0.70391744,0.0040148892+0.17560841+0.07846667,221
0.3278288+-0.15079613+-0.48825255,0.27338943+0.015759459+-0.70113516,0.004020116+0.1756012+0.07843205,222
0.3277779+-0.15077275+-0.4883178,0.2767984+0.01884739+-0.69821274,0.0040194825+0.17559253+0.07839222,223
0.3276902+-0.15072408+-0.4884393,0.27980533+0.021580359+-0.69569427,0.0040134084+0.17558229+0.078361884,224
0.3276658+-0.15070897+-0.48848006,0.27980533+0.021580359+-0.69569427,0.004009382+0.17557086+0.078345396,225
