peerPosAR,peerPosNI,MyPos,Time
0.38419282+0.22810876+-0.32412925,0.3587201+0.058975946+-0.7325427,-0.5022604+0.029239252+0.34240413,0.81778795,132
0.38419282+0.22810876+-0.32412925,0.3560653+0.058264256+-0.7320973,-0.5022935+0.029258743+0.3424077,0.8161763,133
0.38420165+0.2281636+-0.3241936,0.35378143+0.057677142+-0.73171186,-0.50231004+0.029268783+0.3424223,0.8147946,134
0.3842131+0.22817561+-0.32422104,0.35224032+0.057312604+-0.7314563,-0.5023002+0.029276352+0.3424453,0.81387115,135
0.38423854+0.2281645+-0.32423815,0.35139433+0.05714447+-0.731325,-0.502273+0.029282542+0.34246328,0.81337553,136
0.38424417+0.2281253+-0.3242288,0.35139433+0.05714447+-0.731325,-0.50224936+0.029288493+0.3424654,0.81337553,137
0.38423535+0.22810265+-0.32421243,0.35104418+0.0570925+-0.73127997,-0.5022443+0.029294265+0.34244758,0.8131801,138
0.38422176+0.22809783+-0.3241804,0.3509869+0.057077475+-0.7312768,-0.5022196+0.02936386+0.34240818,0.8131515,139
0.38416582+0.22805512+-0.3242161,0.35091352+0.057777457+-0.73375285,-0.50224185+0.02939262+0.34236875,0.81539667,140
0.38411993+0.22805807+-0.32424083,0.35072723+0.05852944+-0.7362968,-0.5022826+0.029405894+0.342344,0.8176602,141
0.3840894+0.22810088+-0.32422534,0.3505257+0.059212476+-0.73852503,-0.502318+0.029413031+0.34234104,0.8196302,142
0.3840894+0.22810088+-0.32422534,0.3505257+0.059212476+-0.73852503,-0.50233227+0.029417276+0.34235406,0.8196302,143
0.38403976+0.22818303+-0.32423282,0.35033327+0.05974141+-0.7401354,-0.50232244+0.029420663+0.34237427,0.8210376,144
0.38403583+0.22817934+-0.3242475,0.3501494+0.060117085+-0.7411738,-0.5022717+0.029480552+0.34244218,0.8219229,145
0.38403583+0.22817934+-0.3242475,0.34997147+0.060365558+-0.7418151,-0.50223726+0.029500214+0.34246138,0.82244366,146
0.3840572+0.22809476+-0.32436568,0.34980828+0.06051615+-0.7422343,-0.5022192+0.029508794+0.3424532,0.8227635,147
0.38403776+0.22807404+-0.32437944,0.34967604+0.06060196+-0.74255633,-0.50222266+0.029512348+0.34243008,0.8230042,148
0.38402033+0.2280798+-0.324357,0.3492949+0.06022225+-0.7422778,-0.5022471+0.029510267+0.34240776,0.82256305,149
0.38402033+0.2280798+-0.324357,0.34798285+0.05906595+-0.74168783,-0.5022384+0.029501319+0.34240907,0.8213901,150
0.38400495+0.22809899+-0.32433045,0.34623694+0.057457104+-0.7407848,-0.50225306+0.02948975+0.34242275,0.8197216,151
0.38401568+0.22811499+-0.32433012,0.34467107+0.056057222+-0.7400576,-0.50226384+0.029476928+0.34245074,0.8183066,152
0.38404548+0.22812818+-0.32432476,0.34347874+0.055084407+-0.7396657,-0.50226146+0.029466312+0.34248716,0.8173844,153
0.38407236+0.22813123+-0.32432944,0.3426383+0.05450325+-0.73958564,-0.50224495+0.029457944+0.342516,0.81692016,154
0.38410345+0.22811672+-0.32434738,0.3426383+0.05450325+-0.73958564,-0.5022284+0.029451417+0.34252638,0.81692016,155
0.38410345+0.22811672+-0.32434738,0.34205002+0.054181658+-0.7397225,-0.5022239+0.029444233+0.342516,0.8167761,156
0.38413018+0.22809464+-0.32432646,0.34161243+0.05398986+-0.7399752,-0.5021866+0.02943668+0.34245053,0.81680924,157
0.3840843+0.2280527+-0.32429382,0.34125364+0.053841222+-0.740266,-0.5021955+0.029430892+0.34241557,0.8169129,158
0.38405436+0.22806007+-0.32428062,0.34092814+0.053696457+-0.74054915,-0.5022248+0.029425753+0.34240216,0.8170241,159
0.38404223+0.22809586+-0.3242586,0.34060308+0.053549375+-0.7408096,-0.5022567+0.029418234+0.34241253,0.81711495,160
0.3840418+0.22813502+-0.32425565,0.34060308+0.053549375+-0.7408096,-0.5022801+0.029409362+0.3424392,0.81711495,161
0.38407847+0.22814757+-0.32424864,0.34025726+0.053404704+-0.7410501,-0.5022865+0.029402565+0.34246868,0.8171795,162
0.3840973+0.22815147+-0.32425818,0.3398789+0.05326153+-0.7412814,-0.50219333+0.029403107+0.34247828,0.8172225,163
0.3840875+0.22806093+-0.32426465,0.33946255+0.05310906+-0.74151534,-0.5021501+0.02939818+0.34247524,0.81725174,164
0.38406006+0.22803523+-0.32423675,0.33901715+0.05293576+-0.74175626,-0.5021308+0.029392606+0.34245676,0.8172743,165
0.38404223+0.22801872+-0.32420418,0.3385705+0.052740883+-0.741997,-0.50213146+0.029386384+0.34243062,0.817295,166
0.38401356+0.22802982+-0.3241555,0.33899456+0.052654676+-0.7410457,-0.50214845+0.029378505+0.34241197,0.8166019,167
0.38401356+0.22802982+-0.3241555,0.33993012+0.052173812+-0.7382436,-0.5021749+0.02936848+0.3424071,0.8144189,168
0.38403815+0.2280803+-0.32410043,0.34140557+0.051595673+-0.734311,-0.50217265+0.02941022+0.34247,0.8114385,169
0.38406152+0.2280792+-0.32416338,0.34268588+0.051077902+-0.7308655,-0.5021825+0.029423613+0.34251857,0.8088306,170
0.38408682+0.22808672+-0.32420355,0.34350598+0.050668493+-0.7284503,-0.50218445+0.029426+0.34255698,0.80697185,171
0.38411748+0.22807837+-0.32424024,0.3438718+0.050350647+-0.7270164,-0.50217557+0.029428305+0.34257755,0.8058137,172
0.38412714+0.22806945+-0.32425138,0.3438718+0.050350647+-0.7270164,-0.50215864+0.02943199+0.34257755,0.8058137,173
0.38413402+0.2280583+-0.3242532,0.34390816+0.050087363+-0.72627896,-0.5020951+0.029495232+0.34253734,0.80514765,174
0.38405803+0.22800505+-0.32426798,0.34376237+0.049848404+-0.7259296,-0.5020744+0.02951688+0.3425054,0.8047554,175
0.3840298+0.22797358+-0.3242728,0.34285176+0.051337786+-0.72565997,-0.5020774+0.029523322+0.34248495,0.80421716,176
0.38399908+0.22798201+-0.3242583,0.34218267+0.053144746+-0.72556233,-0.502091+0.029522957+0.34248304,0.8039615,177
0.38400787+0.2279844+-0.32426077,0.34162554+0.05472557+-0.72539514,-0.5021072+0.029518958+0.34249926,0.8036797,178
0.3840357+0.22798777+-0.32427156,0.34162554+0.05472557+-0.72539514,-0.502121+0.029513333+0.34252733,0.8036797,179
0.3840993+0.22800037+-0.3242777,0.3412147+0.05582356+-0.72514206,-0.5021271+0.029509263+0.3425554,0.8033522,180
0.38412517+0.22800636+-0.32429987,0.34091097+0.056458224+-0.72482634,-0.5020633+0.029528594+0.34257817,0.80298257,181
0.38413686+0.2279371+-0.32433492,0.34066612+0.05675597+-0.72447664,-0.5020365+0.029530028+0.34257916,0.802584,182
0.38414687+0.227904+-0.32433498,0.34044853+0.056857124+-0.72411215,-0.5020262+0.02952488+0.3425656,0.80216974,183
0.38415182+0.22788848+-0.32431594,0.34024575+0.056875043+-0.7237408,-0.5020229+0.029517248+0.34254807,0.80174977,184
0.38414115+0.22788462+-0.32429862,0.3404778+0.05682205+-0.7240519,-0.50202763+0.02950935+0.34253734,0.80212533,185
0.38413224+0.22789532+-0.32427946,0.3410304+0.056662392+-0.72466624,-0.5020419+0.029499022+0.34254196,0.8029032,186
0.38413024+0.22791088+-0.3242854,0.3418779+0.056468986+-0.72563887,-0.501989+0.029483281+0.34254795,0.8041275,187
0.38414845+0.22785115+-0.32428724,0.34262556+0.056338217+-0.7264458,-0.50198126+0.02946802+0.34257552,0.80516446,188
0.3841862+0.22783798+-0.32429668,0.3431247+0.056288145+-0.7269218,-0.50198454+0.02945314+0.34260464,0.8058028,189
0.38422996+0.22783814+-0.32429644,0.34336895+0.0562994+-0.7270939,-0.5019904+0.029437816+0.34262237,0.8060629,190
0.3842386+0.2278503+-0.32429558,0.34336895+0.0562994+-0.7270939,-0.5019933+0.029421274+0.34262478,0.8060629,191
0.38422862+0.22787195+-0.32430166,0.34342185+0.05634726+-0.72705656,-0.5019953+0.029405225+0.34261727,0.80605507,192
